dataset	sample_ID	genes_1	genes_2	breakpoint1	breakpoint2	status	support_split	support_span	filters	source	duplicates	nb_sources
Tembe_2014	SRR1544075	PLBD2	MBP	12:113391048	18:77018564	FP	5	0	s0_LowEvidence	manta		1
Tembe_2014	SRR1544075	SLC25A36	MED13L;MIR620	3:140980710	12:116148620	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	HIP1R	CSGALNACT1	12:122862447	8:19516907	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	intergenic	MFSD12	12:124736652	19:3538650	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	RPL23	PAN3	17:38850081	13:28238925	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	C13orf42	ABHD12;PYGB	13:51128538	20:25297829	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	TRIOBP	intergenic	22:37774005	13:58608734	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	OR4N5	FXYD5	14:20143183	19:35164156	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	RPL4	RPL4P1	15:66499416	14:21751437	FP	19	0	s0_LowEvidence	manta		1
Tembe_2014	SRR1544075	AC008050.1	AC010260.1;SERINC5	14:76657494	5:80139614	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	MT-TK	intergenic	MT:8295	15:31164564	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	FKRP;SLC1A5	INO80	19:46775061	15:41015094	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	WDR90	DTNB	16:664176	2:25463775	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	AHSA2P;USP34	intergenic	2:61189483	16:22789864	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	SULT1A2	SULT1A1	16:28595783	16:28608603	FP	0	4	Imprecise	manta		1
Tembe_2014	SRR1544075	AC093512.2;ALDOA	ALDOAP1	16:30070257	3:52194532	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	AC093512.2;ALDOA	intergenic	16:30070302	17:36728127	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	WDR13	intergenic	X:48604892	16:30777359	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	intergenic	SLC25A1	16:35174381	22:19175890	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	NONO	intergenic	X:71300745	16:69755909	FP	14	0	s0_LowEvidence	manta		1
Tembe_2014	SRR1544075	intergenic	ZFP1	3:56716218	16:75170970	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	PIEZO1	intergenic	16:88716361	2:71853799	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	VPS53	VPS53	17:517655	17:518669	FP	5	3	Inner;s0_Local	manta		1
Tembe_2014	SRR1544075	AC005695.2;STX8	SRR;TSR1	17:9301657	17:2322680	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	SLC13A5	CERK	17:6702013	22:46685521	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	AC026954.2;GPS2	GPS2P1	17:7314291	9:2876108	FP	0	0	Imprecise;inNormal;lowSupport	manta		1
Tembe_2014	SRR1544075	SENP3;SENP3-EIF4A1	LINC01322	17:7571837	3:165312927	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	MT-RNR2	MTRNR2L1	MT:2004	17:22523317	FP	3	0	s0_LowEvidence	manta		1
Tembe_2014	SRR1544075	MRPL45	intergenic	17:38322718	4:106913811	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	MT-CO1	MTCO1P40	MT:7418	17:53106274	FP	62	0	s0_LowEvidence	manta		1
Tembe_2014	SRR1544075	ERN1	AARS2;AL353588.1;TMEM151B	17:64048605	6:44299916	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	P4HB	AC022880.2	17:81843159	8:13699599	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	SH3GLB2	SMAD7	9:129009263	18:48933108	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	BSG	KAT6A	19:582330	8:41957104	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	CHD7	AP3D1	8:60782265	19:2101459	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	MFSD12	SLC35F1	19:3538650	6:118187587	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	MFSD12	CPLX1	19:3538650	4:824385	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	intergenic	AHSA2P;USP34	19:4243224	2:61189507	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	RPS4XP22	PIN4;RPS4X	19:9683547	X:72273389	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	intergenic	BST2	5:51971451	19:17405592	FP	0	0	Imprecise;lowSupport	manta	Y:15823562->19:17405592	1
Tembe_2014	SRR1544075	FN1	intergenic	2:215372300	19:31524637	FP	0	0	Imprecise;lowSupport	manta	2:215372300->8:75799804	1
Tembe_2014	SRR1544075	FXYD5	intergenic	19:35160730	8:125848550	FP	0	0	Imprecise;lowSupport	manta	19:35160801->X:69297938,19:35164217->8:125848553,19:35169880->X:135173110	1
Tembe_2014	SRR1544075	intergenic	FXYD5	6:35159239	19:35161260	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	CAPNS1	intergenic	19:36150120	7:39509062	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	CAPNS1	AGPAT4	19:36150122	6:161217852	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	RPS16	SULF2	19:39433207	20:47745383	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	CD3EAP;ERCC1	intergenic	19:45409614	X:128754604	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	AC008735.2;U2AF2	U2AF2	19:55662526	19:55660573	FP	9	7	Inner;s0_Local	manta		1
Tembe_2014	SRR1544075	HS1BP3	intergenic	2:20618115	4:156145128	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	UBXN2A	intergenic	2:24004217	X:9200210	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	AC074117.1	intergenic	2:27358738	3:32169034	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	CEBPZ;CEBPZOS	CNTLN	2:37204497	9:17282183	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	AC073283.3;CALM2	CWC27	2:47175081	5:64905215	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	AC007238.1;LINC01122	IK	2:58460677	5:140660115	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	RPL14	AC108039.1	3:40462062	2:61710249	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	intergenic	SLC1A4	20:17911241	2:65022576	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	ACTR2	intergenic	2:65270146	22:24689518	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	FLNA	CYP26B1	X:154348761	2:72138370	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	COL18A1;SLC19A1	CTNNA2	21:45513720	2:79956867	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	MT-TS1	CREG2	MT:7469	2:101355710	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	ZNF595	intergenic	4:68824	22:12178326	FP	53	12	PASS	manta	4:68810->2:116375991	1
Tembe_2014	SRR1544075	RPL14	intergenic	3:40462061	2:176233686	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	LIMK1	RPL37A	7:74106329	2:216499270	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	HLA-B;HLA-C	intergenic	6:31271073	2:221157478	FP	0	0	HLA;Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	HSPA9	HSPA9P1	5:138571004	2:221962057	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	UBXN7	STK4	3:196350595	20:45071244	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	SNX21	AGPAT4	20:45840343	6:161183131	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	MT-ND1	intergenic	MT:3877	20:48209725	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	AL049697.1;SLC35A1	AL109930.1;AL354993.1;TSHZ2	6:87507828	20:53405105	FP	5	1	PASS	manta		1
Tembe_2014	SRR1544075	COL9A3	intergenic	20:62830658	X:78183167	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	FP671120.1	intergenic	21:8204357	21:8431775	FP	1	8	s0_LowEvidence	manta		1
Tembe_2014	SRR1544075	intergenic	FP671120.1	21:8441977	21:8214674	FP	15	8	PASS	manta		1
Tembe_2014	SRR1544075	GCNT1	intergenic	9:76571796	21:8445988	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	TULP4	TEKT4P2	6:158486955	21:9121086	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	AC004160.1	CR381653.1	7:11286680	21:9367458	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	BAGE2	intergenic	21:10417673	22:10752913	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	MT-ND2	AF127577.4;LINC02246	MT:4775	21:14906443	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	AC245060.4	intergenic	22:22304114	9:40575473	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	KIAA1671	MICAL1	22:25113343	6:109446412	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	RNF185	intergenic	22:31206132	4:122076315	FP	0	6	Imprecise	manta		1
Tembe_2014	SRR1544075	TRIOBP	CA3;CA3-AS1	22:37774005	8:85445537	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	TRIOBP	ACSL1	22:37774006	4:184806052	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	DDX17	RC3H2	22:38484245	9:122857529	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	RPL3	RPL3P7	22:39312948	6:108004412	FP	0	0	Imprecise;inNormal;lowSupport	manta		1
Tembe_2014	SRR1544075	ALDH8A1	TRABD	6:134934665	22:50193929	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	SLC12A9	ARSA	7:100833646	22:50623916	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	COL6A4P1	ASAH1	3:15172490	8:18067104	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	RPL14	AC012519.1;CADPS	3:40462061	3:62779351	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	CHDH	REEP4	3:53820822	8:22138301	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	IRF2	SUCLG2-AS1	4:184388174	3:67874805	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	RPL8	AC021074.1;PCOLCE2	8:144791299	3:142827454	FP	5	0	s0_LowEvidence	manta		1
Tembe_2014	SRR1544075	WWTR1	MLXIPL	3:149542439	7:73600491	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	YWHAG	SOX2-OT	7:76328828	3:181280131	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	ALG3	ALG3P1	3:184243554	5:5376025	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	FLNA	MYL5	X:154348765	4:680617	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	NRM	LAP3	6:30688148	4:17580143	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	GRXCR1	HIBADH	4:43021049	7:27527058	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	INMT-MINDY4;MINDY4	intergenic	7:30835891	4:49559607	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	NT5C3A	LINC01378;NT5C3AP1	7:33014505	4:117574873	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	AC115622.1	EIF2AK1	4:132969661	7:6024377	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	ELF2	SEPT7P3	4:139114775	7:35971095	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	PNISR	intergenic	6:99402851	4:148682354	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	MT-ND6	KIAA0825;MTND6P3	MT:14271	5:94569025	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	MT-ND6	MTND6P22	MT:14653	5:100046502	FP	43	0	s0_LowEvidence	manta	MT:14264->5:100046892	1
Tembe_2014	SRR1544075	MT-ATP6	MTATP6P2	MT:8979	5:100052321	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	MT-ND6	MTND6P4;PCBD2	MT:14428	5:134924511	FP	37	0	s0_LowEvidence	manta		1
Tembe_2014	SRR1544075	MT-ND5	MTND5P11;PCBD2	MT:13370	5:134925501	FP	190	0	s0_LowEvidence	manta		1
Tembe_2014	SRR1544075	MT-ND4	MTND4P12;PCBD2	MT:12078	5:134926820	FP	210	0	s0_LowEvidence	manta		1
Tembe_2014	SRR1544075	intergenic	SPRY4	9:22144628	5:142311959	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	GM2A	GM2A	5:151259822	5:151253240	FP	3	3	Inner;s0_Local	manta		1
Tembe_2014	SRR1544075	SH3GLB2	COL23A1	9:129009265	5:178260090	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	C6orf62	AC009264.1	6:24705319	7:136790556	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	intergenic	ZNRD1ASP	6:29834990	6:30013516	FP	0	6	Imprecise	manta		1
Tembe_2014	SRR1544075	HLA-C	HLA-J;ZNRD1ASP	6:31268937	6:30009773	FP	0	0	HLA;Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	HLA-B;HLA-C	HLA-B	6:31269966	6:31354665	FP	0	8	HLA;Imprecise;Inner	manta		1
Tembe_2014	SRR1544075	MT-CYB	intergenic	MT:15887	6:82866787	FP	0	0	Imprecise;lowSupport	manta	MT:15887->9:88875343,MT:15887->9:107734794	1
Tembe_2014	SRR1544075	PDAP1	AL357515.1	7:99403398	6:110923681	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	MT-ND3	intergenic	MT:10404	6:117674845	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	FLNA	HIVEP2	X:154348762	6:142927042	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	ASAH1	intergenic	8:18067133	6:145370347	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	DAGLB;KDELR2	DAGLB;KDELR2	7:6463136	7:6466242	FP	27	49	Inner;s0_Local	manta		1
Tembe_2014	SRR1544075	GPNMB	GPNMB	7:23266596	7:23260733	FP	175	112	Inner;s0_Local	manta		1
Tembe_2014	SRR1544075	IL1RAPL1	PPIA	X:29381097	7:44802832	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	KDM7A	SNHG15	7:140120732	7:44983740	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	MT-ND5	intergenic	MT:13077	7:68736591	FP	23	0	s0_LowEvidence	manta		1
Tembe_2014	SRR1544075	DTX2P1;DTX2P1-UPK3BP1-PMS2P11	DTX2	7:77003449	7:76504356	FP	0	6	Imprecise	manta		1
Tembe_2014	SRR1544075	RPL35;WDR38	ABCB1	9:124857883	7:87610252	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	DEC1;TNFSF8	C7orf55-LUC7L2;LUC7L2	9:114916986	7:139418231	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	LINC01603	AL355987.3;TMEM141	8:69426267	9:136793037	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	KLF10	AL691420.1;DEC1	8:102649137	9:115335727	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	MT-TS1	intergenic	MT:7493	8:114155343	FP	0	0	Imprecise;lowSupport	manta		1
Tembe_2014	SRR1544075	FAM129B	FAM129B	9:127531682	9:127568915	FP	0	3	Imprecise;Inner	manta		1
Tembe_2014	SRR1544075	intergenic	AC244107.1	X:154584941	X:154654754	FP	0	0	Imprecise;lowSupport	manta		1
