sample_ID	r_length	split_r	spanning_r	genes_ID1	genes_1	genes_ID2	genes_2	chr1	breakpoint1	chr2	breakpoint2
SRR7646883_sim_3_1_merged	125	3	1	ENSG00000166313	APBB1	ENSG00000156475	PPP2R2B	11	6401574	5	146691240
SRR7646883_sim_3_1_merged	125	3	1	ENSG00000151327	FAM177A1	ENSG00000113231	PDE8B	14	35077150	5	77312053
SRR7646883_sim_3_1_merged	125	3	1	ENSG00000162066	AMDHD2	ENSG00000065609	SNAP91	16	2528452	6	83607808
SRR7646883_sim_3_1_merged	125	3	1	ENSG00000149428	HYOU1	ENSG00000188175	HEPACAM2	11	119052090	7	93215685
SRR7646883_sim_5_1_merged	125	5	1	ENSG00000132274	TRIM22	ENSG00000111711	GOLT1B	11	5706594	12	21512376
SRR7646883_sim_5_1_merged	125	5	1	ENSG00000125875	TBC1D20	ENSG00000089693	MLF2	20	435480	12	6750305
SRR7646883_sim_5_1_merged	125	5	1	ENSG00000175575	PAAF1	ENSG00000140829	DHX38	11	73900270	16	72108925
SRR7646883_sim_5_1_merged	125	5	1	ENSG00000101096	NFATC2	ENSG00000150477	KIAA1328	20	51454548	18	36923961
SRR7646883_sim_5_1_merged	125	5	1	ENSG00000162924	REL	ENSG00000177426	TGIF1	2	60881656	18	3456580
SRR7646883_sim_5_1_merged	125	5	1	ENSG00000236859	NIFK-AS1	ENSG00000137947	GTF2B	2	121649650	1	88891527
SRR7646883_sim_5_1_merged	125	5	1	ENSG00000204681	GABBR1	ENSG00000100225	FBXO7	6	29606897	22	32479275
SRR7646883_sim_5_1_merged	125	5	1	ENSG00000115464	USP34	ENSG00000135636	DYSF	2	61314585	2	71513921
SRR7646883_sim_5_1_merged	125	5	1	ENSG00000007216	SLC13A2	ENSG00000262461	SPDYE9P	17	28473738	7	73022524
SRR7646883_sim_5_1_merged	125	5	1	ENSG00000163378	EOGT	ENSG00000253452	AC124290.1	3	68982811	8	35862150
SRR7646883_sim_7_1_merged	125	7	1	ENSG00000047849	MAP4	ENSG00000160703	NLRX1	3	47857431	11	119168433
SRR7646883_sim_7_1_merged	125	7	1	ENSG00000147454	SLC25A37	ENSG00000166801	FAM111A	8	23566776	11	59144900
SRR7646883_sim_7_1_merged	125	7	1	ENSG00000107159	CA9	ENSG00000069431	ABCC9	9	35679854	12	21917103
SRR7646883_sim_7_1_merged	125	7	1	ENSG00000168214	RBPJ	ENSG00000197111	PCBP2	4	26321014	12	53471807
SRR7646883_sim_7_1_merged	125	7	1	ENSG00000242802	AP5Z1	ENSG00000103274	NUBP1	7	4790810	16	10744065
SRR7646883_sim_7_1_merged	125	7	1	ENSG00000238851		ENSG00000157578	LCA5L	21	36258426	21	39429211
SRR7646883_sim_7_1_merged	125	7	1	ENSG00000099840	IZUMO4	ENSG00000100239	PPP6R2	19	2096381	22	50440049
SRR7646883_sim_7_1_merged	125	7	1	ENSG00000174796	THAP6	ENSG00000114127	XRN1	4	75516772	3	142370588
SRR7646883_sim_7_1_merged	125	7	1	ENSG00000088812	ATRN	ENSG00000177463	NR2C2	20	3471040	3	15038137
SRR7646883_sim_7_1_merged	125	7	1	ENSG00000080224	EPHA6	ENSG00000087206	UIMC1	3	97226264	5	176908694
SRR7646883_sim_10_2_merged	125	10	2	ENSG00000147044	CASK	ENSG00000197467	COL13A1	X	41561559	10	69959142
SRR7646883_sim_10_2_merged	125	10	2	ENSG00000164111	ANXA5	ENSG00000048028	USP28	4	121671547	11	113831993
SRR7646883_sim_10_2_merged	125	10	2	ENSG00000088305	DNMT3B	ENSG00000132964	CDK8	20	32792626	13	26404081
SRR7646883_sim_10_2_merged	125	10	2	ENSG00000234352	AC009264.1	ENSG00000127616	SMARCA4	7	137032794	19	10984373
SRR7646883_sim_10_2_merged	125	10	2	ENSG00000137073	UBAP2	ENSG00000159885	ZNF222	9	34048825	19	44033110
SRR7646883_sim_10_2_merged	125	10	2	ENSG00000262580	AC087741.1	ENSG00000188610	FAM72B	17	80203833	1	121181271
SRR7646883_sim_10_2_merged	125	10	2	ENSG00000237298	TTN-AS1	ENSG00000130590	SAMD10	2	178597596	20	63979642
SRR7646883_sim_10_2_merged	125	10	2	ENSG00000140199	SLC12A6	ENSG00000155749	FLACC1	15	34236708	2	201307622
SRR7646883_sim_10_2_merged	125	10	2	ENSG00000170502	NUDT9	ENSG00000198919	DZIP3	4	87434226	3	108633072
SRR7646883_sim_10_2_merged	125	10	2	ENSG00000175899	A2M	ENSG00000175792	RUVBL1	12	9067712	3	128082574
SRR7646883_sim_12_2_merged	125	12	2	ENSG00000132522	GPS2	ENSG00000272808	AC015712.6	17	7314488	15	100855348
SRR7646883_sim_12_2_merged	125	12	2	ENSG00000075711	DLG1	ENSG00000182256	GABRG3	3	197282679	15	27327029
SRR7646883_sim_12_2_merged	125	12	2	ENSG00000215021	PHB2	ENSG00000117407	ARTN	12	6967171	1	43935716
SRR7646883_sim_12_2_merged	125	12	2	ENSG00000078699	CBFA2T2	ENSG00000184402	SS18L1	20	33606956	20	62159961
SRR7646883_sim_12_2_merged	125	12	2	ENSG00000158161	EYA3	ENSG00000118004	COLEC11	1	27974395	2	3643539
SRR7646883_sim_12_2_merged	125	12	2	ENSG00000183751	TBL3	ENSG00000137601	NEK1	16	1978552	4	169587613
SRR7646883_sim_12_2_merged	125	12	2	ENSG00000089692	LAG3	ENSG00000251339	AC017091.1	12	6774595	4	58860969
SRR7646883_sim_12_2_merged	125	12	2	ENSG00000143434	SEMA6C	ENSG00000127743	IL17B	1	151137986	5	149372333
SRR7646883_sim_12_2_merged	125	12	2	ENSG00000179832	MROH1	ENSG00000122756	CNTFR	8	144200428	9	34556418
SRR7646883_sim_12_2_merged	125	12	2	ENSG00000168661	ZNF30	ENSG00000068366	ACSL4	19	34933625	X	109678111
SRR7646883_sim_13_3_merged	125	13	3	ENSG00000126091	ST3GAL3	ENSG00000137500	CCDC90B	1	43838219	11	83265979
SRR7646883_sim_13_3_merged	125	13	3	ENSG00000083807	SLC27A5	ENSG00000172322	CLEC12A	19	58499123	12	9979524
SRR7646883_sim_13_3_merged	125	13	3	ENSG00000204866	IGFL2	ENSG00000157326	DHRS4	19	46143106	14	23953916
SRR7646883_sim_13_3_merged	125	13	3	ENSG00000005379	TSPOAP1	ENSG00000104980	TIMM44	17	58307611	19	7933570
SRR7646883_sim_13_3_merged	125	13	3	ENSG00000109814	UGDH	ENSG00000182035	ADIG	4	39527283	20	38588463
SRR7646883_sim_13_3_merged	125	13	3	ENSG00000164880	INTS1	ENSG00000205726	ITSN1	7	1485098	21	33810922
SRR7646883_sim_13_3_merged	125	13	3	ENSG00000135249	RINT1	ENSG00000145075	CCDC39	7	105532085	3	180711219
SRR7646883_sim_13_3_merged	125	13	3	ENSG00000065371	ROPN1	ENSG00000129116	PALLD	3	123980366	4	168681398
SRR7646883_sim_13_3_merged	125	13	3	ENSG00000115504	EHBP1	ENSG00000164180	TMEM161B	2	62942718	5	88225866
SRR7646883_sim_13_3_merged	125	13	3	ENSG00000100012	SEC14L3	ENSG00000119408	NEK6	22	30462086	9	124326438
SRR7646883_sim_15_3_merged	125	15	3	ENSG00000124275	MTRR	ENSG00000123384	LRP1	5	7890261	12	57173980
SRR7646883_sim_15_3_merged	125	15	3	ENSG00000103657	HERC1	ENSG00000100968	NFATC4	15	63628677	14	24376101
SRR7646883_sim_15_3_merged	125	15	3	ENSG00000094914	AAAS	ENSG00000051108	HERPUD1	12	53320565	16	56935475
SRR7646883_sim_15_3_merged	125	15	3	ENSG00000183674	LINC00518	ENSG00000121289	CEP89	6	10433028	19	32948368
SRR7646883_sim_15_3_merged	125	15	3	ENSG00000160014	CALM3	ENSG00000081985	IL12RB2	19	46608846	1	67329729
SRR7646883_sim_15_3_merged	125	15	3	ENSG00000099999	RNF215	ENSG00000185404	SP140L	22	30386616	2	230392229
SRR7646883_sim_15_3_merged	125	15	3	ENSG00000131051	RBM39	ENSG00000174500	GCSAM	20	35734186	3	112130513
SRR7646883_sim_15_3_merged	125	15	3	ENSG00000198720	ANKRD13B	ENSG00000112769	LAMA4	17	29608851	6	112141503
SRR7646883_sim_15_3_merged	125	15	3	ENSG00000170927	PKHD1	ENSG00000166925	TSC22D4	6	51830861	7	100467600
SRR7646883_sim_15_3_merged	125	15	3	ENSG00000102893	PHKB	ENSG00000008311	AASS	16	47641035	7	122113229
SRR7646883_sim_20_4_merged	125	20	4	ENSG00000183091	NEB	ENSG00000182934	SRPRA	2	151548308	11	126266922
SRR7646883_sim_20_4_merged	125	20	4	ENSG00000113761	ZNF346	ENSG00000135473	PAN2	5	177044389	12	56317643
SRR7646883_sim_20_4_merged	125	20	4	ENSG00000166855	CLPX	ENSG00000259925	AC130456.2	15	65164029	16	19393547
SRR7646883_sim_20_4_merged	125	20	4	ENSG00000227844		ENSG00000261350	AC018558.2	6	136070224	16	35492395
SRR7646883_sim_20_4_merged	125	20	4	ENSG00000162409	PRKAA2	ENSG00000108465	CDK5RAP3	1	56695935	17	47971407
SRR7646883_sim_20_4_merged	125	20	4	ENSG00000164070	HSPA4L	ENSG00000122490	SLC66A2	4	127805687	18	79919400
SRR7646883_sim_20_4_merged	125	20	4	ENSG00000196187	TMEM63A	ENSG00000157870	PRXL2B	1	225848492	1	2589040
SRR7646883_sim_20_4_merged	125	20	4	ENSG00000105717	PBX4	ENSG00000196182	STK40	19	19599292	1	36358822
SRR7646883_sim_20_4_merged	125	20	4	ENSG00000123374	CDK2	ENSG00000120265	PCMT1	12	55971120	6	149796500
SRR7646883_sim_20_4_merged	125	20	4	ENSG00000143199	ADCY10	ENSG00000167011	NAT16	1	167824476	7	101180215
SRR7646883_sim_100_20_merged	125	100	20	ENSG00000213809	KLRK1	ENSG00000148824	MTG1	12	10381814	10	133398515
SRR7646883_sim_100_20_merged	125	100	20	ENSG00000157326	DHRS4	ENSG00000197535	MYO5A	14	23966283	15	52407399
SRR7646883_sim_100_20_merged	125	100	20	ENSG00000128683	GAD1	ENSG00000174444	RPL4	2	170849286	15	66501381
SRR7646883_sim_100_20_merged	125	100	20	ENSG00000151445	VIPAS39	ENSG00000101639	CEP192	14	77454010	18	13089565
SRR7646883_sim_100_20_merged	125	100	20	ENSG00000185710	SMG1P4	ENSG00000132204	LINC00470	16	21903449	18	1358760
SRR7646883_sim_100_20_merged	125	100	20	ENSG00000175265	GOLGA8A	ENSG00000181666	ZNF875	15	34385254	19	37347872
SRR7646883_sim_100_20_merged	125	100	20	ENSG00000054523	KIF1B	ENSG00000124222	STX16	1	10277986	20	58659634
SRR7646883_sim_100_20_merged	125	100	20	ENSG00000160796	NBEAL2	ENSG00000166979	EVA1C	3	47003174	21	32495170
SRR7646883_sim_100_20_merged	125	100	20	ENSG00000197818	SLC9A8	ENSG00000186439	TRDN	20	49815008	6	123464983
SRR7646883_sim_100_20_merged	125	100	20	ENSG00000168874	ATOH8	ENSG00000176406	RIMS2	2	85763991	8	104251163
SRR7646883_sim_200_40_merged	125	200	40	ENSG00000111335	OAS2	ENSG00000122986	HVCN1	12	113002932	12	110655338
SRR7646883_sim_200_40_merged	125	200	40	ENSG00000248672	LY75-CD302	ENSG00000103546	SLC6A2	2	159835480	16	55685281
SRR7646883_sim_200_40_merged	125	200	40	ENSG00000065809	FAM107B	ENSG00000159842	ABR	10	14553322	17	1070090
SRR7646883_sim_200_40_merged	125	200	40	ENSG00000102897	LYRM1	ENSG00000101654	RNMT	16	20901104	18	13762344
SRR7646883_sim_200_40_merged	125	200	40	ENSG00000173915	ATP5MD	ENSG00000080573	COL5A3	10	103389050	19	9960890
SRR7646883_sim_200_40_merged	125	200	40	ENSG00000204371	EHMT2	ENSG00000144426	NBEAL1	6	31883362	2	203086212
SRR7646883_sim_200_40_merged	125	200	40	ENSG00000072609	CHFR	ENSG00000152670	DDX4	12	132848085	5	55815423
SRR7646883_sim_200_40_merged	125	200	40	ENSG00000172053	QARS1	ENSG00000106113	CRHR2	3	49104617	7	30662847
SRR7646883_sim_200_40_merged	125	200	40	ENSG00000176155	CCDC57	ENSG00000104760	FGL1	17	82188219	8	17895538
SRR7646883_sim_200_40_merged	125	200	40	ENSG00000215262	KCNU1	ENSG00000197859	ADAMTSL2	8	36784399	9	133568486
SRR7646942_sim_1_0_merged	125	1	0	ENSG00000257433	AC004241.1	ENSG00000184014	DENND5A	12	47739543	11	9170777
SRR7646942_sim_1_0_merged	125	1	0	ENSG00000261239	ANKRD26P1	ENSG00000261147	AC091167.2	16	46474249	15	90264963
SRR7646942_sim_1_0_merged	125	1	0	ENSG00000107960	STN1	ENSG00000007516	BAIAP3	10	103889072	16	1346684
SRR7646942_sim_1_0_merged	125	1	0	ENSG00000174695	TMEM167A	ENSG00000108406	DHX40	5	83056727	17	59579879
SRR7646942_sim_1_0_merged	125	1	0	ENSG00000133943	DGLUCY	ENSG00000183914	DNAH2	14	91181186	17	7760932
SRR7646942_sim_1_0_merged	125	1	0	ENSG00000152767	FARP1	ENSG00000236830	CBR3-AS1	13	98365395	21	36146355
SRR7646942_sim_1_0_merged	125	1	0	ENSG00000152894	PTPRK	ENSG00000115705	TPO	6	128009130	2	1423129
SRR7646942_sim_1_0_merged	125	1	0	ENSG00000081760	AACS	ENSG00000177311	ZBTB38	12	125134794	3	141386937
SRR7646942_sim_1_0_merged	125	1	0	ENSG00000153707	PTPRD	ENSG00000172901	LVRN	9	8497242	5	115993854
SRR7646942_sim_1_0_merged	125	1	0	ENSG00000115183	TANC1	ENSG00000148358	GPR107	2	159065896	9	130133236
SRR7646942_sim_3_1_merged	125	3	1	ENSG00000135317	SNX14	ENSG00000243742	RPLP0P2	6	85505793	11	61629039
SRR7646942_sim_3_1_merged	125	3	1	ENSG00000264660	AC107926.1	ENSG00000023734	STRAP	17	20938538	12	15903108
SRR7646942_sim_3_1_merged	125	3	1	ENSG00000127054	INTS11	ENSG00000206192	ANKRD20A9P	1	1319296	13	18851844
SRR7646942_sim_3_1_merged	125	3	1	ENSG00000103342	GSPT1	ENSG00000167614	TTYH1	16	11875761	19	54415678
SRR7646942_sim_3_1_merged	125	3	1	ENSG00000096063	SRPK1	ENSG00000180228	PRKRA	6	35895659	2	178443384
SRR7646942_sim_3_1_merged	125	3	1	ENSG00000254647	INS	ENSG00000172116	CD8B	11	2159783	2	86846773
SRR7646942_sim_3_1_merged	125	3	1	ENSG00000165192	ASB11	ENSG00000214510	SPINK13	X	15297574	5	148286210
SRR7646942_sim_3_1_merged	125	3	1	ENSG00000163430	FSTL1	ENSG00000112679	DUSP22	3	120404895	6	345928
SRR7646942_sim_3_1_merged	125	3	1	ENSG00000230102	LINC02028	ENSG00000049540	ELN	3	194052360	7	74066776
SRR7646942_sim_3_1_merged	125	3	1	ENSG00000178980	SELENOW	ENSG00000120915	EPHX2	19	47780756	8	27491309
SRR7646942_sim_5_1_merged	125	5	1	ENSG00000154359	LONRF1	ENSG00000197142	ACSL5	8	12753026	10	112422035
SRR7646942_sim_5_1_merged	125	5	1	ENSG00000136942	RPL35	ENSG00000064201	TSPAN32	9	124861419	11	2314634
SRR7646942_sim_5_1_merged	125	5	1	ENSG00000244625	MIATNB	ENSG00000006114		22	26738062	17	37554059
SRR7646942_sim_5_1_merged	125	5	1	ENSG00000111344	RASAL1	ENSG00000133313	CNDP2	12	113119128	18	74513719
SRR7646942_sim_5_1_merged	125	5	1	ENSG00000144452	ABCA12	ENSG00000131355	ADGRE3	2	214978316	19	14633302
SRR7646942_sim_5_1_merged	125	5	1	ENSG00000197561	ELANE	ENSG00000131044	TTLL9	19	855958	20	31919932
SRR7646942_sim_5_1_merged	125	5	1	ENSG00000234050	Z95624.1	ENSG00000215440	NPEPL1	X	102940471	20	58701158
SRR7646942_sim_5_1_merged	125	5	1	ENSG00000173715	C11orf80	ENSG00000163516	ANKZF1	11	66822564	2	219229900
SRR7646942_sim_5_1_merged	125	5	1	ENSG00000184182	UBE2F	ENSG00000109686	SH3D19	2	238035878	4	151139847
SRR7646942_sim_5_1_merged	125	5	1	ENSG00000168397	ATG4B	ENSG00000034239	EFCAB1	2	241651264	8	48729871
SRR7646942_sim_7_1_merged	125	7	1	ENSG00000102030	NAA10	ENSG00000111725	PRKAB1	X	153933660	12	119668403
SRR7646942_sim_7_1_merged	125	7	1	ENSG00000088812	ATRN	ENSG00000155980	KIF5A	20	3471108	12	57569404
SRR7646942_sim_7_1_merged	125	7	1	ENSG00000182149	IST1	ENSG00000130731	METTL26	16	71895508	16	634956
SRR7646942_sim_7_1_merged	125	7	1	ENSG00000125122	LRRC29	ENSG00000095059	DHPS	16	67226630	19	12675933
SRR7646942_sim_7_1_merged	125	7	1	ENSG00000115423	DNAH6	ENSG00000142765	SYTL1	2	84659026	1	27350485
SRR7646942_sim_7_1_merged	125	7	1	ENSG00000227195	MIR663AHG	ENSG00000117054	ACADM	20	26192133	1	75750546
SRR7646942_sim_7_1_merged	125	7	1	ENSG00000213516	RBMXL1	ENSG00000115884	SDC1	1	88979459	2	20204291
SRR7646942_sim_7_1_merged	125	7	1	ENSG00000141013	GAS8	ENSG00000185038	MROH2A	16	90042470	2	233779452
SRR7646942_sim_7_1_merged	125	7	1	ENSG00000138795	LEF1	ENSG00000178772	CPN2	4	108083368	3	194342702
SRR7646942_sim_7_1_merged	125	7	1	ENSG00000156970	BUB1B	ENSG00000145332	KLHL8	15	40170062	4	87220497
SRR7646942_sim_10_2_merged	125	10	2	ENSG00000215301	DDX3X	ENSG00000079337	RAPGEF3	X	41334162	12	47743676
SRR7646942_sim_10_2_merged	125	10	2	ENSG00000180357	ZNF609	ENSG00000169189	NSMCE1	15	64499292	16	27234265
SRR7646942_sim_10_2_merged	125	10	2	ENSG00000067113	PLPP1	ENSG00000007541	PIGQ	5	55475299	16	580263
SRR7646942_sim_10_2_merged	125	10	2	ENSG00000108375	RNF43	ENSG00000167526	RPL13	17	58417285	16	89561368
SRR7646942_sim_10_2_merged	125	10	2	ENSG00000168421	RHOH	ENSG00000124459	ZNF45	4	40243178	19	43924310
SRR7646942_sim_10_2_merged	125	10	2	ENSG00000180233	ZNRF2	ENSG00000143748	NVL	7	30362377	1	224250318
SRR7646942_sim_10_2_merged	125	10	2	ENSG00000163995	ABLIM2	ENSG00000186487	MYT1L	4	7984839	2	1839370
SRR7646942_sim_10_2_merged	125	10	2	ENSG00000198431	TXNRD1	ENSG00000163694	RBM47	12	104309851	4	40432862
SRR7646942_sim_10_2_merged	125	10	2	ENSG00000032444	PNPLA6	ENSG00000234511	C5orf58	19	7557168	5	170246228
SRR7646942_sim_10_2_merged	125	10	2	ENSG00000115290	GRB14	ENSG00000122756	CNTFR	2	164525004	9	34557984
SRR7646942_sim_12_2_merged	125	12	2	ENSG00000116128	BCL9	ENSG00000168439	STIP1	1	147614427	11	64186270
SRR7646942_sim_12_2_merged	125	12	2	ENSG00000196605	ZNF846	ENSG00000110075	PPP6R3	19	9764936	11	68551186
SRR7646942_sim_12_2_merged	125	12	2	ENSG00000137817	PARP6	ENSG00000108312	UBTF	15	72261558	17	44209733
SRR7646942_sim_12_2_merged	125	12	2	ENSG00000205744	DENND1C	ENSG00000008441	NFIX	19	6477074	19	13078735
SRR7646942_sim_12_2_merged	125	12	2	ENSG00000162733	DDR2	ENSG00000131941	RHPN2	1	162773469	19	32996220
SRR7646942_sim_12_2_merged	125	12	2	ENSG00000205359	SLCO6A1	ENSG00000071054	MAP4K4	5	102371788	2	101865036
SRR7646942_sim_12_2_merged	125	12	2	ENSG00000130475	FCHO1	ENSG00000163872	YEATS2	19	17774239	3	183807092
SRR7646942_sim_12_2_merged	125	12	2	ENSG00000173083	HPSE	ENSG00000136237	RAPGEF5	4	83302150	7	22136983
SRR7646942_sim_12_2_merged	125	12	2	ENSG00000154263	ABCA10	ENSG00000204173	LRRC37A5P	17	69227145	9	111609269
SRR7646942_sim_12_2_merged	125	12	2	ENSG00000012504	NR1H4	ENSG00000102312	PORCN	12	100563251	X	48516146
SRR7646942_sim_13_3_merged	125	13	3	ENSG00000131061	ZNF341	ENSG00000099290	WASHC2A	20	33757148	10	50078692
SRR7646942_sim_13_3_merged	125	13	3	ENSG00000176095	IP6K1	ENSG00000133818	RRAS2	3	49738212	11	14281720
SRR7646942_sim_13_3_merged	125	13	3	ENSG00000124574	ABCC10	ENSG00000139644	TMBIM6	6	43434621	12	49755755
SRR7646942_sim_13_3_merged	125	13	3	ENSG00000227166	STSP1	ENSG00000063761	ADCK1	Y	15551597	14	77887249
SRR7646942_sim_13_3_merged	125	13	3	ENSG00000106617	PRKAG2	ENSG00000178226	PRSS36	7	151574891	16	31141960
SRR7646942_sim_13_3_merged	125	13	3	ENSG00000186994	KANK3	ENSG00000196427	NBPF4	19	8324951	1	108226893
SRR7646942_sim_13_3_merged	125	13	3	ENSG00000168676	KCTD19	ENSG00000145216	FIP1L1	16	67320589	4	53379117
SRR7646942_sim_13_3_merged	125	13	3	ENSG00000063660	GPC1	ENSG00000106348	IMPDH1	2	240465527	7	128409901
SRR7646942_sim_13_3_merged	125	13	3	ENSG00000139436	GIT2	ENSG00000173275	ZNF449	12	109980952	X	135349314
SRR7646942_sim_13_3_merged	125	13	3	ENSG00000172671	ZFAND4	ENSG00000067445	TRO	10	45639706	X	54925068
SRR7646942_sim_15_3_merged	125	15	3	ENSG00000140995	DEF8	ENSG00000092199	HNRNPC	16	89960931	14	21234229
SRR7646942_sim_15_3_merged	125	15	3	ENSG00000114745	GORASP1	ENSG00000174197	MGA	3	39101016	15	41757839
SRR7646942_sim_15_3_merged	125	15	3	ENSG00000114867	EIF4G1	ENSG00000173838	MARCHF10	3	184327216	17	62711344
SRR7646942_sim_15_3_merged	125	15	3	ENSG00000133083	DCLK1	ENSG00000156413	FUT6	13	35854499	19	5838732
SRR7646942_sim_15_3_merged	125	15	3	ENSG00000269699	ZIM2	ENSG00000129951	PLPPR3	19	56822753	19	814749
SRR7646942_sim_15_3_merged	125	15	3	ENSG00000163378	EOGT	ENSG00000144677	CTDSPL	3	68977180	3	37971499
SRR7646942_sim_15_3_merged	125	15	3	ENSG00000188706	ZDHHC9	ENSG00000113387	SUB1	X	129828981	5	32588584
SRR7646942_sim_15_3_merged	125	15	3	ENSG00000008952	SEC62	ENSG00000185760	KCNQ5	3	169988240	6	72622587
SRR7646942_sim_15_3_merged	125	15	3	ENSG00000122687	MRM2	ENSG00000184216	IRAK1	7	2239418	X	154011917
SRR7646942_sim_15_3_merged	125	15	3	ENSG00000096433	ITPR3	ENSG00000147162	OGT	6	33662911	X	71544635
SRR7646942_sim_20_4_merged	125	20	4	ENSG00000047634	SCML1	ENSG00000160593	JAML	X	17751815	11	118198091
SRR7646942_sim_20_4_merged	125	20	4	ENSG00000136960	ENPP2	ENSG00000103342	GSPT1	8	119583962	16	11886611
SRR7646942_sim_20_4_merged	125	20	4	ENSG00000076108	BAZ2A	ENSG00000167723	TRPV3	12	56615521	17	3514014
SRR7646942_sim_20_4_merged	125	20	4	ENSG00000101353	MROH8	ENSG00000079999	KEAP1	20	37119698	19	10503186
SRR7646942_sim_20_4_merged	125	20	4	ENSG00000116237	ICMT	ENSG00000157873	TNFRSF14	1	6234405	1	2557834
SRR7646942_sim_20_4_merged	125	20	4	ENSG00000135930	EIF4E2	ENSG00000116353	MECR	2	232566829	1	29196258
SRR7646942_sim_20_4_merged	125	20	4	ENSG00000070882	OSBPL3	ENSG00000010803	SCMH1	7	24840690	1	41160898
SRR7646942_sim_20_4_merged	125	20	4	ENSG00000205356	TECPR1	ENSG00000099889	ARVCF	7	98244571	22	19986683
SRR7646942_sim_20_4_merged	125	20	4	ENSG00000084676	NCOA1	ENSG00000115414	FN1	2	24768221	2	215365630
SRR7646942_sim_20_4_merged	125	20	4	ENSG00000173482	PTPRM	ENSG00000214706	IFRD2	18	8370890	3	50289601
SRR7646942_sim_100_20_merged	125	100	20	ENSG00000114120	SLC25A36	ENSG00000129173	E2F8	3	140963127	11	19238132
SRR7646942_sim_100_20_merged	125	100	20	ENSG00000154760	SLFN13	ENSG00000005810	MYCBP2	17	35437545	13	77262129
SRR7646942_sim_100_20_merged	125	100	20	ENSG00000006283	CACNA1G	ENSG00000129562	DAD1	17	50603015	14	22575233
SRR7646942_sim_100_20_merged	125	100	20	ENSG00000197535	MYO5A	ENSG00000140009	ESR2	15	52387829	14	64227614
SRR7646942_sim_100_20_merged	125	100	20	ENSG00000166888	STAT6	ENSG00000165521	EML5	12	57107231	14	88705588
SRR7646942_sim_100_20_merged	125	100	20	ENSG00000129351	ILF3	ENSG00000101746	NOL4	19	10683636	18	34223551
SRR7646942_sim_100_20_merged	125	100	20	ENSG00000143164	DCAF6	ENSG00000067704	IARS2	1	168075371	1	220140289
SRR7646942_sim_100_20_merged	125	100	20	ENSG00000228723	SRGAP3-AS2	ENSG00000100346	CACNA1I	3	9193429	22	39649925
SRR7646942_sim_100_20_merged	125	100	20	ENSG00000258013	RPL3P13	ENSG00000081059	TCF7	4	84544304	5	134138164
SRR7646942_sim_100_20_merged	125	100	20	ENSG00000105889	STEAP1B	ENSG00000134480	CCNH	7	22494772	5	87401772
SRR7646942_sim_200_40_merged	125	200	40	ENSG00000188219	POTEE	ENSG00000254422	AP000942.2	2	131245407	11	102230922
SRR7646942_sim_200_40_merged	125	200	40	ENSG00000159713	TPPP3	ENSG00000188211	NCR3LG1	16	67393380	11	17367347
SRR7646942_sim_200_40_merged	125	200	40	ENSG00000159674	SPON2	ENSG00000247137	AP000873.2	4	1172587	11	83193794
