PMID	sample_ID	molarity	replicate	genes_1	genes_2	chr1	breakpoint1	chr2	breakpoint2
25266161	SRR1659968	5.87	1	TMPRSS2	ETV1	21	41494375	7	13935838
25266161	SRR1659968	5.87	1	EWSR1	FLI1	22	29287134	11	128807180
25266161	SRR1659968	5.87	1	ETV6	NTRK3	12	11869969	15	87940753
25266161	SRR1659968	5.87	1	CD74	ROS1	5	150404680	6	117324415
25266161	SRR1659968	5.87	1	HOOK3	RET	8	42968214	10	43116584
25266161	SRR1659968	5.87	1	EML4	ALK	2	42301392	2	29223586
25266161	SRR1659968	5.87	1	AKAP9	BRAF	7	92003235	7	140787584
25266161	SRR1659968	5.87	1	BRD4	NUTM1	19	15254152	15	34347969
25266161	SRR1659959	5.87	2	EWSR1	ATF1	22	29287134	12	50814280
25266161	SRR1659959	5.87	2	TMPRSS2	ETV1	21	41494375	7	13935838
25266161	SRR1659959	5.87	2	EWSR1	FLI1	22	29287134	11	128807180
25266161	SRR1659959	5.87	2	ETV6	NTRK3	12	11869969	15	87940753
25266161	SRR1659959	5.87	2	CD74	ROS1	5	150404680	6	117324415
25266161	SRR1659959	5.87	2	HOOK3	RET	8	42968214	10	43116584
25266161	SRR1659959	5.87	2	EML4	ALK	2	42301392	2	29223586
25266161	SRR1659959	5.87	2	AKAP9	BRAF	7	92003235	7	140787584
25266161	SRR1659959	5.87	2	BRD4	NUTM1	19	15254152	15	34347969
25266161	SRR1659964	6.17	1	EWSR1	ATF1	22	29287134	12	50814280
25266161	SRR1659964	6.17	1	TMPRSS2	ETV1	21	41494375	7	13935838
25266161	SRR1659964	6.17	1	EWSR1	FLI1	22	29287134	11	128807180
25266161	SRR1659964	6.17	1	ETV6	NTRK3	12	11869969	15	87940753
25266161	SRR1659964	6.17	1	CD74	ROS1	5	150404680	6	117324415
25266161	SRR1659964	6.17	1	HOOK3	RET	8	42968214	10	43116584
25266161	SRR1659964	6.17	1	EML4	ALK	2	42301392	2	29223586
25266161	SRR1659964	6.17	1	AKAP9	BRAF	7	92003235	7	140787584
25266161	SRR1659964	6.17	1	BRD4	NUTM1	19	15254152	15	34347969
25266161	SRR1659955	6.17	2	EWSR1	ATF1	22	29287134	12	50814280
25266161	SRR1659955	6.17	2	TMPRSS2	ETV1	21	41494375	7	13935838
25266161	SRR1659955	6.17	2	EWSR1	FLI1	22	29287134	11	128807180
25266161	SRR1659955	6.17	2	ETV6	NTRK3	12	11869969	15	87940753
25266161	SRR1659955	6.17	2	CD74	ROS1	5	150404680	6	117324415
25266161	SRR1659955	6.17	2	HOOK3	RET	8	42968214	10	43116584
25266161	SRR1659955	6.17	2	EML4	ALK	2	42301392	2	29223586
25266161	SRR1659955	6.17	2	AKAP9	BRAF	7	92003235	7	140787584
25266161	SRR1659955	6.17	2	BRD4	NUTM1	19	15254152	15	34347969
25266161	SRR1659965	6.57	1	EWSR1	ATF1	22	29287134	12	50814280
25266161	SRR1659965	6.57	1	TMPRSS2	ETV1	21	41494375	7	13935838
25266161	SRR1659965	6.57	1	EWSR1	FLI1	22	29287134	11	128807180
25266161	SRR1659965	6.57	1	ETV6	NTRK3	12	11869969	15	87940753
25266161	SRR1659965	6.57	1	CD74	ROS1	5	150404680	6	117324415
25266161	SRR1659965	6.57	1	HOOK3	RET	8	42968214	10	43116584
25266161	SRR1659965	6.57	1	EML4	ALK	2	42301392	2	29223586
25266161	SRR1659965	6.57	1	AKAP9	BRAF	7	92003235	7	140787584
25266161	SRR1659965	6.57	1	BRD4	NUTM1	19	15254152	15	34347969
25266161	SRR1659956	6.57	2	EWSR1	ATF1	22	29287134	12	50814280
25266161	SRR1659956	6.57	2	TMPRSS2	ETV1	21	41494375	7	13935838
25266161	SRR1659956	6.57	2	EWSR1	FLI1	22	29287134	11	128807180
25266161	SRR1659956	6.57	2	ETV6	NTRK3	12	11869969	15	87940753
25266161	SRR1659956	6.57	2	CD74	ROS1	5	150404680	6	117324415
25266161	SRR1659956	6.57	2	HOOK3	RET	8	42968214	10	43116584
25266161	SRR1659956	6.57	2	EML4	ALK	2	42301392	2	29223586
25266161	SRR1659956	6.57	2	AKAP9	BRAF	7	92003235	7	140787584
25266161	SRR1659956	6.57	2	BRD4	NUTM1	19	15254152	15	34347969
25266161	SRR1659966	6.87	1	EWSR1	ATF1	22	29287134	12	50814280
25266161	SRR1659966	6.87	1	TMPRSS2	ETV1	21	41494375	7	13935838
25266161	SRR1659966	6.87	1	EWSR1	FLI1	22	29287134	11	128807180
25266161	SRR1659966	6.87	1	ETV6	NTRK3	12	11869969	15	87940753
25266161	SRR1659966	6.87	1	CD74	ROS1	5	150404680	6	117324415
25266161	SRR1659966	6.87	1	HOOK3	RET	8	42968214	10	43116584
25266161	SRR1659966	6.87	1	EML4	ALK	2	42301392	2	29223586
25266161	SRR1659966	6.87	1	AKAP9	BRAF	7	92003235	7	140787584
25266161	SRR1659966	6.87	1	BRD4	NUTM1	19	15254152	15	34347969
25266161	SRR1659957	6.87	2	EWSR1	ATF1	22	29287134	12	50814280
25266161	SRR1659957	6.87	2	TMPRSS2	ETV1	21	41494375	7	13935838
25266161	SRR1659957	6.87	2	EWSR1	FLI1	22	29287134	11	128807180
25266161	SRR1659957	6.87	2	ETV6	NTRK3	12	11869969	15	87940753
25266161	SRR1659957	6.87	2	CD74	ROS1	5	150404680	6	117324415
25266161	SRR1659957	6.87	2	HOOK3	RET	8	42968214	10	43116584
25266161	SRR1659957	6.87	2	EML4	ALK	2	42301392	2	29223586
25266161	SRR1659957	6.87	2	AKAP9	BRAF	7	92003235	7	140787584
25266161	SRR1659957	6.87	2	BRD4	NUTM1	19	15254152	15	34347969
25266161	SRR1659967	7.17	1	EWSR1	ATF1	22	29287134	12	50814280
25266161	SRR1659967	7.17	1	TMPRSS2	ETV1	21	41494375	7	13935838
25266161	SRR1659967	7.17	1	EWSR1	FLI1	22	29287134	11	128807180
25266161	SRR1659967	7.17	1	ETV6	NTRK3	12	11869969	15	87940753
25266161	SRR1659967	7.17	1	CD74	ROS1	5	150404680	6	117324415
25266161	SRR1659967	7.17	1	HOOK3	RET	8	42968214	10	43116584
25266161	SRR1659967	7.17	1	EML4	ALK	2	42301392	2	29223586
25266161	SRR1659967	7.17	1	AKAP9	BRAF	7	92003235	7	140787584
25266161	SRR1659967	7.17	1	BRD4	NUTM1	19	15254152	15	34347969
25266161	SRR1659958	7.17	2	EWSR1	ATF1	22	29287134	12	50814280
25266161	SRR1659958	7.17	2	TMPRSS2	ETV1	21	41494375	7	13935838
25266161	SRR1659958	7.17	2	EWSR1	FLI1	22	29287134	11	128807180
25266161	SRR1659958	7.17	2	ETV6	NTRK3	12	11869969	15	87940753
25266161	SRR1659958	7.17	2	CD74	ROS1	5	150404680	6	117324415
25266161	SRR1659958	7.17	2	HOOK3	RET	8	42968214	10	43116584
25266161	SRR1659958	7.17	2	EML4	ALK	2	42301392	2	29223586
25266161	SRR1659958	7.17	2	AKAP9	BRAF	7	92003235	7	140787584
25266161	SRR1659958	7.17	2	BRD4	NUTM1	19	15254152	15	34347969
25266161	SRR1544075	8.57	1	EWSR1	ATF1	22	29287134	12	50814280
25266161	SRR1544075	8.57	1	TMPRSS2	ETV1	21	41494375	7	13935838
25266161	SRR1544075	8.57	1	EWSR1	FLI1	22	29287134	11	128807180
25266161	SRR1544075	8.57	1	ETV6	NTRK3	12	11869969	15	87940753
25266161	SRR1544075	8.57	1	CD74	ROS1	5	150404680	6	117324415
25266161	SRR1544075	8.57	1	HOOK3	RET	8	42968214	10	43116584
25266161	SRR1544075	8.57	1	EML4	ALK	2	42301392	2	29223586
25266161	SRR1544075	8.57	1	AKAP9	BRAF	7	92003235	7	140787584
25266161	SRR1544075	8.57	1	BRD4	NUTM1	19	15254152	15	34347969
25266161	SRR1548811	8.57	2	EWSR1	ATF1	22	29287134	12	50814280
25266161	SRR1548811	8.57	2	TMPRSS2	ETV1	21	41494375	7	13935838
25266161	SRR1548811	8.57	2	EWSR1	FLI1	22	29287134	11	128807180
25266161	SRR1548811	8.57	2	ETV6	NTRK3	12	11869969	15	87940753
25266161	SRR1548811	8.57	2	CD74	ROS1	5	150404680	6	117324415
25266161	SRR1548811	8.57	2	HOOK3	RET	8	42968214	10	43116584
25266161	SRR1548811	8.57	2	EML4	ALK	2	42301392	2	29223586
25266161	SRR1548811	8.57	2	AKAP9	BRAF	7	92003235	7	140787584
25266161	SRR1548811	8.57	2	BRD4	NUTM1	19	15254152	15	34347969
